[2024-05-07T11:01:08.929] [INFO] default - Access about page successful
[2024-05-07T11:38:36.559] [INFO] default - get Rubik successful
[2024-05-07T11:38:38.041] [INFO] default - Access about page successful
[2024-05-07T11:43:51.944] [INFO] default - get Rubik successful
[2024-05-07T11:53:43.588] [INFO] default - GET DEVICE LIST SUCCESSFULLY
[2024-05-07T13:58:21.182] [INFO] default - Access about page successful
[2024-05-07T13:58:22.492] [INFO] default - get product-detail Rubik's Coach Cube successfull
[2024-05-07T13:58:22.507] [INFO] default - get product-detail Rubik's 3x3 successfull
[2024-05-07T13:58:22.521] [INFO] default - get product-detail Rubik’s Apprentice 2x2 successfull
[2024-05-07T13:58:26.639] [INFO] default - get product-detail Rubik's Coach Cube successfull
[2024-05-07T13:58:26.647] [INFO] default - get product-detail Rubik's 3x3 successfull
[2024-05-07T13:58:26.657] [INFO] default - get product-detail Rubik’s Apprentice 2x2 successfull
[2024-05-07T13:58:31.187] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:04:20.024] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:04:21.053] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:04:43.637] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:06:46.941] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:07:08.828] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:07:12.289] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:07:19.567] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:07:35.773] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-05-07T14:13:08.275] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
