[2024-06-27T16:31:53.614] [INFO] default - Rotate Secret Key Successfully.
[2024-06-27T16:33:56.914] [INFO] default - Access about page successful
[2024-06-27T16:34:01.054] [INFO] default - Close Log SSE Successfully.
[2024-06-27T16:34:01.215] [INFO] default - get product-detail Rubik's Coach Cube successfull
[2024-06-27T16:34:01.245] [INFO] default - get product-detail Rubik's 3x3 successfull
[2024-06-27T16:34:01.265] [INFO] default - get product-detail Rubik’s Apprentice 2x2 successfull
[2024-06-27T16:34:09.851] [INFO] default - GET DEVICE LIST SUCCESSFULLY FOR USER helloman123
[2024-06-27T16:43:58.527] [INFO] default - Update Topic List Successfully.
[2024-06-27T16:55:55.134] [INFO] default - Update Topic List Successfully.
[2024-06-27T17:07:56.793] [INFO] default - Update Topic List Successfully.
[2024-06-27T17:19:58.428] [INFO] default - Update Topic List Successfully.
[2024-06-27T17:31:55.507] [INFO] default - Update Topic List Successfully.
[2024-06-27T17:43:57.834] [INFO] default - Update Topic List Successfully.
[2024-06-27T17:55:54.595] [INFO] default - Update Topic List Successfully.
[2024-06-27T18:07:56.406] [INFO] default - Update Topic List Successfully.
[2024-06-27T18:19:58.018] [INFO] default - Update Topic List Successfully.
[2024-06-27T18:31:54.582] [INFO] default - Update Topic List Successfully.
[2024-06-27T18:43:56.260] [INFO] default - Update Topic List Successfully.
[2024-06-27T18:55:57.911] [INFO] default - Update Topic List Successfully.
[2024-06-27T19:07:54.500] [INFO] default - Update Topic List Successfully.
[2024-06-27T19:19:56.048] [INFO] default - Update Topic List Successfully.
[2024-06-27T19:31:57.634] [INFO] default - Update Topic List Successfully.
[2024-06-27T19:43:54.182] [INFO] default - Update Topic List Successfully.
[2024-06-27T19:55:55.796] [INFO] default - Update Topic List Successfully.
[2024-06-27T20:07:57.365] [INFO] default - Update Topic List Successfully.
[2024-06-27T20:19:53.950] [INFO] default - Update Topic List Successfully.
[2024-06-27T20:31:55.532] [INFO] default - Update Topic List Successfully.
[2024-06-27T20:43:57.217] [INFO] default - Update Topic List Successfully.
[2024-06-27T20:55:53.848] [INFO] default - Update Topic List Successfully.
[2024-06-27T21:07:55.414] [INFO] default - Update Topic List Successfully.
[2024-06-27T21:19:57.017] [INFO] default - Update Topic List Successfully.
[2024-06-27T21:31:58.707] [INFO] default - Update Topic List Successfully.
[2024-06-27T21:43:55.274] [INFO] default - Update Topic List Successfully.
[2024-06-27T21:55:56.888] [INFO] default - Update Topic List Successfully.
[2024-06-27T22:07:58.487] [INFO] default - Update Topic List Successfully.
[2024-06-27T22:19:55.039] [INFO] default - Update Topic List Successfully.
[2024-06-27T22:31:56.563] [INFO] default - Update Topic List Successfully.
[2024-06-27T22:43:58.104] [INFO] default - Update Topic List Successfully.
[2024-06-27T22:55:54.672] [INFO] default - Update Topic List Successfully.
[2024-06-27T23:07:56.261] [INFO] default - Update Topic List Successfully.
[2024-06-27T23:19:57.861] [INFO] default - Update Topic List Successfully.
[2024-06-27T23:31:54.555] [INFO] default - Update Topic List Successfully.
[2024-06-27T23:43:56.031] [INFO] default - Update Topic List Successfully.
[2024-06-27T23:55:57.620] [INFO] default - Update Topic List Successfully.
